productId,productName,productUrl,sku,listPriceMax,price,image
ITNL203827,Delish Black Forest Cake 6 Inches,https://www.fnp.com/canada/gift/delish-black-forest-cake-6-inches?localityname=vancouver&pos=127,FRSTD_CK44_CAN,4049.0,4049.0,https://www.fnp.com/images/pr/canada/m/v20210521063604/delish-black-forest-cake-6-inches.jpg
PERS-ITNL156,Personalized Special Couple Mug,https://www.fnp.com/canada/gift/personalized-special-couple-mug?localityname=vancouver&pos=128,CARTPERSMUG190109_CAN,2699.0,2699.0,https://www.fnp.com/images/pr/canada/m/v20190131133904/personalized-special-couple-mug.jpg
ITNL335839,Tempting Red Velvet Cakehalf Kg,https://www.fnp.com/canada/gift/tempting-red-velvet-cakehalf-kg?localityname=vancouver&pos=129,CART_CAN_CART20211111,3149.0,3149.0,https://www.fnp.com/images/pr/canada/m/v20211116111239/tempting-red-velvet-cakehalf-kg.jpg
PERS-ITNL117,Personalized Couple Photo Mug,https://www.fnp.com/canada/gift/personalized-couple-photo-mug?localityname=vancouver&pos=130,CARTPERSMUG190141_CAN,2699.0,2699.0,https://www.fnp.com/images/pr/canada/m/v20190131133902/personalized-couple-photo-mug.jpg
ITNL203775,Scrumptious Cookies Cream Cake 6 Inches,https://www.fnp.com/canada/gift/scrumptious-cookies-cream-cake-6-inches?localityname=vancouver&pos=131,FRSTD_CK20_CAN,2449.0,2449.0,https://www.fnp.com/images/pr/canada/m/v20210521063501/scrumptious-cookies-cream-cake-6-inches.jpg
ITNL334481,Bhai Dooj Special Gulab Jamun Combo,https://www.fnp.com/canada/gift/bhai-dooj-special-gulab-jamun-combo?localityname=vancouver&pos=132,CART_CAN_CM01_BD21,2599.0,2599.0,https://www.fnp.com/images/pr/canada/m/v20211022112537/bhai-dooj-special-gulab-jamun-combo.jpg
ITNL106007,Romantic Wine Surprise,https://www.fnp.com/canada/gift/romantic-wine-surprise?localityname=vancouver&pos=133,VD20_GBOS_10812_CAN,12649.0,12649.0,https://www.fnp.com/images/pr/canada/m/v20200122135254/romantic-wine-surprise.jpg
ITNL46475,Milk Chocolate Symphony,https://www.fnp.com/canada/gift/milk-chocolate-symphony?localityname=vancouver&pos=134,ECK_CK43_CAN,5249.0,5249.0,https://www.fnp.com/images/pr/canada/m/v20190708122149/milk-chocolate-symphony.jpg
ITNL24938,Bath And Body Spa Kit,https://www.fnp.com/canada/gift/bath-and-body-spa-kit?localityname=vancouver&pos=135,CARTLY_CARGFB2018022101_CAN,5549.0,5549.0,https://www.fnp.com/images/pr/canada/m/v20180406102206/bath-and-body-spa-kit.jpg
ITNL203800,Luscious Pineapple Cake 6 Inches,https://www.fnp.com/canada/gift/luscious-pineapple-cake-6-inches?localityname=vancouver&pos=136,FRSTD_CK14_CAN,3249.0,3249.0,https://www.fnp.com/images/pr/canada/m/v20210521063451/luscious-pineapple-cake-6-inches.jpg
ITNL46517,Dulce De Leche Brownies Cheesecake,https://www.fnp.com/canada/gift/dulce-de-leche-brownies-cheesecake?localityname=vancouver&pos=137,ECK_CK21_CAN,5599.0,5599.0,https://www.fnp.com/images/pr/canada/m/v20190708122143/dulce-de-leche-brownies-cheesecake.jpg
