name,PID,pro_url,price,image
"Daikin Streamer Discharge Series 1.8 Ton (5 Star - Inverter) Split AC with Copper Condenser, Patented Steamer Discharge Technology (JTKJ60UV)",19891,Daikin 1.8 Ton 5 Star Split Inverter Air Conditioner (JTKJ60UV),92200.0,c94eb206-42c6-4b30-b205-1e5c3179c7f922121134.jpg
Blue Star 1.5 Ton 5 Star Window Air Conditioner (WFA518LN),21845,Blue Star 1.5 Ton 5 Star Window Air Conditioner (WFA518LN),44500.0,f4b5c556-3d22-4ba0-8832-c91b3cb14a6022291237.jpg
"Voltas 1.5 Ton (3 Star - Inverter) 4 in 1 Convertible Split AC with Turbo Cooling, Anti Microbial Air FIlteration (183V Vectra Prism) 2023 Model",23033,"Voltas 1.5 Ton 3 Star Split Inverter Air Conditioner with Sleep Mode, Anti Microbial Air Filtration & Turbo Cooling Technology (183VVECTRAPRISM15TSPL)",64990.0,c05b6279-b07d-4bbe-9891-a27c0f1f235d22280741.jpg
"Mitsubishi Electric 1.9 Ton (2 Star) Split AC with 100% Copper Heat Exchanger, Tropical Technology, Powerful Cool (MS-GS24VF-DA1)",22658,Mitsubishi Electric 2 Ton 2 Star Air Conditioner (MSGS24VF-DA1),69400.0,ce045c4d-db70-4385-9e31-22151240d6be22070632.jpg
"Mitsubishi Electric 1.9 Ton (4 Star - Inverter) Split AC with Wide and Long Airflow, 100% Copper Heat Exchanger, Powerful Cool System (MSY-GN22VF-D1)",22784,Mitsubishi Electric 1.9 Ton 4 Star Split Inverter Air Conditioner (MSYGN2VF-D1),72000.0,010c5f41-7aae-43db-bea6-59d0abf208de22211019.jpg
"OGeneral CPA Series 2 Ton (3 Star - Inverter) Split AC with Coanda Airflow, Quiet Operation, Higher Moisture Removal (ASGG24CPAA-B) 2023 Model",23566,O General 2 Ton (3 Star-Inverter) Split AC with Copper Condense (ASGG24CPAA-B) 2023 Model,70460.0,64ebc95f-f7b4-4852-bf8b-1921a2d617ed23241103.jpg
"Mitsubishi Electric GR Series 2.2 Ton (4 Star - Inverter) Split AC with Fast Cooling, Sleep Mode, Auto Fan Speed Mode (MSY-GR26VF)",23623,"Mitsubishi Electric 2.2 Ton 4 Star Split Inverter Air Conditioner with Fast Cooling, Sleep Mode, Auto Fan Speed Mode (MSYGR26VF)",105000.0,ad103d40-f9bd-4069-8c4d-97b79121851723041129.jpg
Blue Star 2 Ton 3 Star Window Air Conditioner (WFA324LN),21846,Blue Star 2 Ton 3 Star Window Air Conditioner (WFA324LN),48000.0,9d1823f9-34af-4eb0-b37e-24c50466194422291240.jpg
"Voltas All Weather 2 Ton (3 Star) Split AC with Instant Cooling, Active Dehumidifier, 100% Copper Condenser (243 Vectra Plus)",23036,"Voltas 2 Ton 3 Star Split Air Conditioner with Active Dehumidifier, Anti Microbial Air Filtration & Dual Display (243VECTRAPLUS2TSPL)",81990.0,e30116f3-5822-46e2-b095-bbf2de186d8522280748.jpg
"Mitsubishi Electric 2.2 Ton (4 Star - Inverter) Split AC with Wide and Long Airflow, 100% Copper Heat Exchanger, Powerful Cool System (MSY-GN26VF-D1)",22377,Mitsubishi 2.2 Ton 4 Star Split Inverter Air Conditioner (MSYGN26VF-D1),97450.0,66460820-d02c-4313-b105-9669e1d85ece22071047.jpg
"Voltas PureAir 1.5 Ton (5 Star - Inverter) 6 in 1 Maha Adjustable Split AC with Air Quality Index Indicator, 100% Copper Condenser (185V ZAZAH+)",23042,"Voltas 1.5 Ton 5 Star Split Inverter Air Conditioner with HEPA Filter, PM 1.0 Display & 6 Step Adjustable Modes (185VZAZAH+15TSPL)",79990.0,cc5fea84-c6de-4af0-bed6-13639310430c22280813.jpg
LG 1.5 Ton 5 Star Window Inverter Air Conditioner (JWQ18WUZA),11527,LG 1.5 Ton 5 Star Window Inverter Air Conditioner (JWQ18WUZA),55990.0,bf2a1572-e1c9-4b17-8fd6-e455a4a98d01.jpg
Panasonic 1.5 Ton 4 Star Split Inverter Air Conditioner (CSKU18YKY4F1),19479,Panasonic 1.5 Ton 4 Star Split Inverter Air Conditioner (CSKU18YKY4F1),58900.0,179ac4b8-7eab-4e8b-8808-8c7856c91de822100726.jpg
Panasonic 1.5 Ton 4 Star Split Inverter Air Conditioner (CSWU18YKYXF),19482,Panasonic 1.5 Ton 4 Star Split Inverter Air Conditioner (CSWU18YKYXF),61900.0,f9ce59f1-0d51-422b-b198-bea25bc260c922100736.jpg
Ogeneral 0.8 Ton 4 Star Window Air Conditioner (AMGB09BAWA-B-4S),21893,Ogeneral 0.8 Ton 4 Star Window Air Conditioner (AMGB09BAWA-B-4S),30520.0,682584ce-25d1-478d-8b1f-a5a715ddc4f422011017.jpg
Ogeneral 1.1 Ton 4 Star Window Air Conditioner (AFGB12BAWA-B),18027,Ogeneral 1.1 Ton 5 Star Window Air Conditioner (AFGB12BAWA-B),34740.0,24682dc6-e7e6-46f9-961b-bbad383fa47421021110.jpg
Ogeneral 1 Ton 3 Star Split Inverter Air Conditioner (ASGA12CLWA-B),19604,Ogeneral 1 Ton 3 Star Split Inverter Air Conditioner (ASGA12CLWA-B),44210.0,c4444b64-20e0-4a4f-97dc-c6aec018c09a22210957.jpg
Ogeneral 1.5 Ton 2 Star Window Air Conditioner (AXGT18FHTC-2SC),21896,Ogeneral 1.5 Ton 2 Star Window Air Conditioner (AXGT18FHTC-2SC),47370.0,ac31d19e-99f0-4958-adf7-eaf9fc7895c822011053.jpg
