product_link,product_Name,price,list_price,discount_price,image
https://www.reliancedigital.in/portronics-sounddrum-powerful-bluetooth-speaker-with-water-and-dust-resistant-powerful-bass-upto-7-hrs-of-playtime-2-x-5-watts-built-in-stereo-speaker-blue-/p/492572956,"Portronics SoundDrum Powerful Bluetooth Speaker with Water and Dust Resistant, Powerful Bass, Upto 7 hrs of playtime, 2 x 5 Watts Built-in Stereo Speaker (Blue)",,"₹,2,999.00",,https://www.reliancedigital.in/medias/Portronics-SOUNDDRUM-SpeakerBLU-492572956-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w2NDU5NXxpbWFnZS9qcGVnfGltYWdlcy9oZDQvaGMyLzk2ODU2MTM1MTA2ODYuanBnfGM0MmYyMTMyYzQ3MjA1N2Y4ODc2YzMxM2VmNmY3MmY1ZTMzMTc5ZjBmNmJkNGUwYTBkMDQ4ODNkNmVlMWJkMDY
https://www.reliancedigital.in/portronics-bounce-speaker-with-bluetooth-fm-and-usb-music-options-fast-connectivity-blue-/p/492572961,"Portronics Bounce Speaker with Bluetooth, FM and USB Music Options, Fast Connectivity (Blue)",,"₹,1,599.00",,https://www.reliancedigital.in/medias/Portronics-BOUNCE-SpeakerBLU-492572961-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w4MDM5MHxpbWFnZS9qcGVnfGltYWdlcy9oNmYvaDUzLzk2ODU2MTk0MDg5MjYuanBnfDM5NDkzMjQyZGRjMWYxY2JkMzQ4ZTA1ODA4MWZkODM5ZWZmYmIyOWViZDhlNWU4NzNkNGNjNTc3YTk1MTM4ZjM
https://www.reliancedigital.in/jbl-charge-5-portable-bluetooth-speaker-upto-20-hrs-of-playtime-ip67-waterproof-and-dustproof-partyboost-feature-built-in-powerbank-black/p/492519935,"JBL CHARGE 5 Portable Bluetooth Speaker, Upto 20 hrs of playtime, IP67 Waterproof and Dustproof, PartyBoost feature, Built-in powerbank, Black",,"₹,18,999.00",,https://www.reliancedigital.in/medias/JBL-Charge-5-Bluetooth-Speaker-492519935-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTU0NXxpbWFnZS9qcGVnfGltYWdlcy9oMzYvaDkwLzk2NTMzNTI2NjEwMjIuanBnfDY4ODg3N2RjYzhiM2VhNTgxOTY0NmU0MGEzOThjZmQ0Y2Q2MjBmZDkwNTU5MGZmODRjZjkzNjdhNDQ5MzQ3NzY
https://www.reliancedigital.in/jbl-charge-5-portable-bluetooth-speaker-upto-20-hrs-of-playtime-ip67-waterproof-and-dustproof-partyboost-feature-built-in-powerbank-blue/p/492519936,"JBL CHARGE 5 Portable Bluetooth Speaker, Upto 20 hrs of playtime, IP67 Waterproof and Dustproof, PartyBoost feature, Built-in powerbank, Blue",,"₹,18,999.00",,https://www.reliancedigital.in/medias/JBL-Charge-5-Bluetooth-Speaker-492519936-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMjQwMXxpbWFnZS9qcGVnfGltYWdlcy9oYTAvaDQwLzk2NTMzNTIzMzMzNDIuanBnfGI4YmY1NzdmYWU1MzY3NjM5YzhkNWU5NDcyYjMzMzFlMGJlM2U5NmM4NjdlOTY2YzM2ZjJiNjNjYTFkMWNiMDg
https://www.reliancedigital.in/apple-homepod-mini-with-siri-assistant-smart-speaker-360-degree-audio-easy-to-connect-control-deep-bass-orange/p/492579179,"Apple HomePod mini with Siri assistant Smart Speaker, 360-Degree Audio, Easy to connect & control, Deep Bass, Orange",,,,https://www.reliancedigital.in/medias/Apple-HomePod-Mini-Multimedia-Speakers-492579179-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMDU0ODN8aW1hZ2UvanBlZ3xpbWFnZXMvaDMzL2g5Yy85NzQyMDc1ODg3NjQ2LmpwZ3w0YzFjYmY5YTNhZmYxNTA1ZTY3YjVhZGNlZDQzMDk0OTdmNTkxNGZmNzE1MmZiMWU5MjNhMjIxOWE3NWYyMmMx
https://www.reliancedigital.in/philips-bt2003gy-94-sp-portable-btsp-grey/p/492573138,"Philips BT2003GY/94 SP Portable BTSP, Grey",,"₹,2,499.00",,https://www.reliancedigital.in/medias/Philips-BT2003GY-94-MULTIMEDIASPEAKERS-492573138-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTkwM3xpbWFnZS9qcGVnfGltYWdlcy9oN2QvaGVjLzk3MzY0ODI5NDcxMDIuanBnfDUzYzFhMDFhNmQ0MGEyODc3NzcwYjhjODUwZTVjNDgwNjUxOTkxMjUyM2FlZjE5ZGNmZDkwZGYzODViZDk0ODI
https://www.reliancedigital.in/zebronics-radiant-bt-rucf-5-1-multimedia-speaker-with-supporting-bluetooth-usb-sd-mmc-card-aux-black-/p/492573038,"Zebronics Radiant-BT RUCF 5.1 Multimedia Speaker With Supporting Bluetooth, USB, SD/MMC Card, AUX (Black)",,"₹,7,999.00",,https://www.reliancedigital.in/medias/ZEBRONICS-Zeb-RADIANT-MULTIMEDIASPEAKERS-492573038-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w4NTMyfGltYWdlL2pwZWd8aW1hZ2VzL2g4Ni9oM2MvOTc1MDY2NzgyMTA4Ni5qcGd8Mjc3MTI3Yjk3OWIwMGQyMThlMzVjMmU5ZTM5ZmNiYjllNDRhOGIxNjE0Mzk5NmY1YjZjZTVjMWVlZTg4NGFhMw
https://www.reliancedigital.in/lumiford-bt05-16-watts-gofash-broadway-ny-portable-speaker-with-alexa-built-in-voice-control-ipx5-splash-proof-grey-/p/491598600,"Lumiford BT05 16 Watts GoFash Broadway NY Portable Speaker with Alexa Built-in voice control, IPX5 Splash Proof (Grey)",,"₹,5,980.00",,https://www.reliancedigital.in/medias/Lumiford-BT05-MMTRAVELSPEAKER-491598600-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w4NTExfGltYWdlL2pwZWd8aW1hZ2VzL2g2ZC9oZWIvOTc1MTMyOTQzOTc3NC5qcGd8NTkyZGNjNmI3ZTM1N2QyNTQxMTE0MDdmNjQyNGJhYWY2ZDFhYjViNmUyNWNmYzhjNzU4MDlkMGRhM2U4ZjViYw
https://www.reliancedigital.in/lumiford-table-top-bt13-true-wireless-stereo-wireless-speaker-with-hands-free-calling-mic-ipx7--water-proof-black-/p/492579391,"Lumiford Table Top BT13 True Wireless Stereo Wireless Speaker with Hands-Free Calling Mic, IPX7- Water Proof (Black)",,"₹,2,599.00",,https://www.reliancedigital.in/medias/Lumiford-BT13-MMTRAVELSPEAKER-492579391-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w5NDc4fGltYWdlL2pwZWd8aW1hZ2VzL2gyYS9oMGMvOTc1MTMzMDA5NTEzNC5qcGd8MDFkMDY1ODE1M2YwZTk1MjBhZWU0ZDY4OTMyODY5NTJkZWZmZWYxZDU0NjhkMmNmOTM3OGY1NTBiMzVlZDM5Yg
https://www.reliancedigital.in/lumiford-gomusic-bt12-true-wireless-portable-wireless-speaker-with-ipx4-splash-proof-voice-assistance-and-multi-connectivity-options-red-/p/492579398,"Lumiford GoMusic BT12 True Wireless Portable Wireless Speaker with IPX4-Splash Proof, Voice Assistance and Multi connectivity Options (Red)",,"₹,2,199.00",,https://www.reliancedigital.in/medias/Lumiford-BT12-MMTRAVELSPEAKER-492579398-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMDgwMXxpbWFnZS9qcGVnfGltYWdlcy9oMmUvaDAzLzk3NTEzMzkyNzAxNzQuanBnfGU0N2YyMWVjNWZlMDExY2Q2MmU3YjMzMjYyNDg0YzM2YzJkOTk5Mzk0MTZkMTA3OGJjMzkwM2VlNThiNTUyMjE
