product_link,product_Name,price,list_price,discount_price,image
https://www.reliancedigital.in/bose-soundlink-revolve-wireless-bluetooth-speaker-with-mic-black/p/491336140,"Bose Soundlink Revolve Wireless Bluetooth Speaker with Mic, Black","₹,19,900.00",,,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/zoook-zb-rocker-armor-xl-portable-bluetooth-multimedia-speaker-black/p/491315700,"Zoook ZB-Rocker Armor XL Portable Bluetooth Multimedia Speaker, Black","₹,1,499.00","₹,5,499.00","73%(₹4,000)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/lg-ph1-bluetooth-multimedia-speaker/p/491295642,LG PH1 Bluetooth Multimedia Speaker,"₹,2,790.00","₹,4,490.00","38%(₹1,700)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/reconnect-muse-rabsb8001-2-channel-portable-multimedia-speaker-gold/p/491228828,"Reconnect MUSE RABSB8001 2 channel Portable Multimedia Speaker, Gold","₹,399.00","₹,3,999.00","90%(₹3,600)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/philips-spa8000b-94-120-watts-5-1-channel-multimedia-speaker/p/491295708,Philips SPA8000B/94 120 watts 5.1 channel Multimedia Speaker,"₹,9,490.00","₹,13,490.00","30%(₹4,000)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/reconnect-rabsb3001-multimedia-speaker/p/491099282,Reconnect RABSB3001 Multimedia Speaker,"₹,2,079.00","₹,5,999.00","65%(₹3,920)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/logitech-x50-portable-bluetooth-multimedia-speaker-grey/p/491216735,"Logitech X50 Portable Bluetooth Multimedia Speaker, Grey","₹,799.00","₹,2,495.00","68%(₹1,696)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/philips-bt4200-94-wireless-portable-multimedia-speaker/p/491182250,Philips BT4200/94 Wireless Portable Multimedia Speaker,"₹,1,999.00","₹,3,499.00","43%(₹1,500)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/marshall-stanmore-ii-bluetooth-speaker-bluetooth-v5-0-qualcomm-aptx-wireless-connectivity-two-15-watt-class-d-amplifiers-multi-host-functionality-black/p/491694741,"MARSHALL STANMORE II Bluetooth Speaker, Bluetooth v5.0, Qualcomm aptX wireless connectivity, Two 15 Watt Class D amplifiers, Multi-host functionality, Black","₹,29,999.00","₹,39,999.00","25%(₹10,000)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/marshall-kilburn-ii-bluetooth-speaker-more-than-20-hrs-of-playtime-upto-30-feet-range-bluetooth-5-0-aptx-technology-ipx2-water-resistant-powered-by-36-watts-black/p/491694739,"Marshall Kilburn II Bluetooth Speaker, More than 20 hrs of playtime,  Upto 30 feet range, Bluetooth 5.0 aptX technology, IPX2 water-resistant, Powered by 36 Watts, Black","₹,29,999.00","₹,31,999.00","6%(₹2,000)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
